image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.871136,bus,van,False
drive_022,2,5,0.862896,truck,bus,False
drive_022,3,3,0.774224,car,car,True
drive_022,4,1,0.866985,car,car,True
drive_022,5,4,0.784006,car,car,True
drive_033,1,1,0.949736,bus,van,False
drive_033,2,2,0.952636,truck,bus,False
drive_033,3,3,0.705417,car,car,True
drive_033,4,4,0.757682,car,car,True
drive_033,5,7,0.858693,car,car,True
drive_033,6,5,0.800317,car,car,True
drive_033,7,11,0.869228,car,car,True
drive_033,8,9,0.850935,car,car,True
drive_033,16,8,0.91241,car,car,True
drive_033,17,6,0.82546,car,car,True
drive_033,18,12,0.93017,bus,van,False
drive_038,1,5,0.905056,truck,bus,False
drive_038,2,8,0.779735,car,car,True
drive_038,3,7,0.866748,car,car,True
drive_038,4,6,0.777081,car,car,True
drive_038,7,9,0.84711,truck,bus,False
drive_038,8,15,0.850511,van,truck,False
drive_038,11,13,0.85251,car,car,True
drive_038,12,14,0.784864,car,car,True
drive_008,1,11,0.882551,car,car,True
drive_008,2,16,0.846342,car,car,True
drive_008,3,6,0.908742,car,car,True
drive_008,4,12,0.852601,van,truck,False
drive_008,5,9,0.94566,bus,van,False
drive_008,6,3,0.94512,van,truck,False
drive_008,7,1,0.805515,truck,bus,False
drive_008,8,2,0.897464,car,car,True
drive_008,10,5,0.789174,van,truck,False
drive_008,14,14,0.819891,car,car,True
drive_008,16,4,0.823821,car,car,True
